Date,Mean_Temp,Total_Precip,Rain,Snow
2019-04-28,6.1,0.0,0.0,0.0
2019-04-29,3.2,0.8,0.6,0.2
2019-04-30,6.4,1.2,1.2,0.0
2019-05-01,6.7,14.6,14.6,0.0
2019-05-02,7.5,1.8,1.8,0.0
2019-05-03,8.8,13.4,13.4,0.0
2019-05-04,9.6,0.2,0.2,0.0
2019-05-05,10.8,0.0,0.0,0.0
2019-05-06,15.2,0,0,0.0
2019-05-07,9.7,2.6,2.6,0.0
2019-05-08,7.2,0.0,0.0,0.0
2019-05-09,12.0,6.2,6.2,0.0
2019-05-10,9.9,7.4,7.4,0.0
2019-05-11,6.9,0.0,0.0,0.0
2019-05-12,7.1,5.4,5.4,0.0
2019-05-13,LegendMM,7.6,7.6,0.0
2019-05-14,11.0,0.4,0.4,0.0
2019-05-15,12.6,0.8,0.8,0.0
2019-05-16,11.0,0,0,0.0
2019-05-17,13.6,0.0,0.0,0.0
2019-05-18,10.9,0.0,0.0,0.0
2019-05-19,15.4,2.0,2.0,0.0
2019-05-20,11.9,0.0,0.0,0.0
2019-05-21,11.6,0.0,0.0,0.0
2019-05-22,11.3,0.6,0.6,0.0
2019-05-23,17.2,0.8,0.8,0.0
2019-05-24,16.6,0.0,0.0,0.0
2019-05-25,15.5,28.0,28.0,0.0
2019-05-26,17.8,0.0,0.0,0.0
2019-05-27,16.7,0.6,0.6,0.0
2019-05-28,11.3,4.6,4.6,0.0
2019-05-29,13.1,0.6,0.6,0.0
2019-05-30,16.3,0.0,0.0,0.0
2019-05-31,13.8,0.0,0.0,0.0
2019-06-01,16.0,1.0,1.0,0.0
2019-06-02,14.0,3.0,3.0,0.0
2019-06-03,11.6,0.0,0.0,0.0
2019-06-04,12.2,0.0,0.0,0.0
2019-06-05,14.6,11.2,11.2,0.0
2019-06-06,18.7,0,0,0.0
2019-06-07,19.0,0.0,0.0,0.0
2019-06-08,18.4,0.0,0.0,0.0
2019-06-09,19.7,0.0,0.0,0.0
2019-06-10,15.7,14.8,14.8,0.0
2019-06-11,16.5,0.0,0.0,0.0
2019-06-12,16.0,0.0,0.0,0.0
2019-06-13,14.6,22.8,22.8,0.0
2019-06-14,16.8,0.2,0.2,0.0
2019-06-15,17.2,0.4,0.4,0.0
2019-06-16,15.5,0.0,0.0,0.0
2019-06-17,17.8,0.0,0.0,0.0
2019-06-18,20.3,0.0,0.0,0.0
2019-06-19,20.8,0.0,0.0,0.0
2019-06-20,18.9,26.0,26.0,0.0
2019-06-21,18.8,0,0,0.0
2019-06-22,18.6,0.0,0.0,0.0
2019-06-23,19.3,0.0,0.0,0.0
2019-06-24,20.3,16.0,16.0,0.0
2019-06-25,21.3,0,0,0.0
2019-06-26,23.7,1.2,1.2,0.0
2019-06-27,23.0,0.0,0.0,0.0
2019-06-28,23.4,12.0,12.0,0.0
2019-06-29,23.4,0.0,0.0,0.0
2019-06-30,19.7,0.0,0.0,0.0
2019-07-01,20.8,0.0,0.0,0.0
2019-07-02,23.3,0.6,0.6,0.0
2019-07-03,23.9,0.0,0.0,0.0
2019-07-04,23.7,0.0,0.0,0.0
2019-07-05,26.1,1.6,1.6,0.0
2019-07-06,26.5,0.0,0.0,0.0
2019-07-07,20.1,0.0,0.0,0.0
2019-07-08,20.2,0.0,0.0,0.0
2019-07-09,21.4,0.0,0.0,0.0
2019-07-10,22.3,0.4,0.4,0.0
2019-07-11,23.8,1.6,1.6,0.0
2019-07-12,20.5,0.0,0.0,0.0
2019-07-13,23.3,6.2,6.2,0.0
2019-07-14,22.1,0.0,0.0,0.0
2019-07-15,21.2,0.0,0.0,0.0
2019-07-16,25.2,3.6,3.6,0.0
2019-07-17,25.1,67.0,67.0,0.0
2019-07-18,25.2,0.0,0.0,0.0
2019-07-19,26.5,0.2,0.2,0.0
2019-07-20,27.6,4.6,4.6,0.0
2019-07-21,24.7,0.0,0.0,0.0
2019-07-22,20.7,5.2,5.2,0.0
2019-07-23,20.6,0.0,0.0,0.0
2019-07-24,21.0,0.0,0.0,0.0
2019-07-25,22.5,1.2,1.2,0.0
2019-07-26,23.3,0.0,0.0,0.0
2019-07-27,24.3,0.8,0.8,0.0
2019-07-28,26.4,0,0,0.0
2019-07-29,26.4,0.0,0.0,0.0
2019-07-30,24.4,11.2,11.2,0.0
2019-07-31,21.8,0.0,0.0,0.0
2019-08-01,20.8,0.0,0.0,0.0
2019-08-02,21.5,0.0,0.0,0.0
2019-08-03,22.8,0.0,0.0,0.0
2019-08-04,22.3,0.0,0.0,0.0
2019-08-05,22.3,0.0,0.0,0.0
2019-08-06,24.0,3.6,3.6,0.0
2019-08-07,22.6,0.0,0.0,0.0
2019-08-08,21.8,2.0,2.0,0.0
2019-08-09,20.1,0.0,0.0,0.0
2019-08-10,19.9,0.0,0.0,0.0
2019-08-11,21.6,0.0,0.0,0.0
2019-08-12,24.3,3.2,3.2,0.0
2019-08-13,23.5,0.0,0.0,0.0
2019-08-14,21.2,0.0,0.0,0.0
2019-08-15,19.6,1.4,1.4,0.0
2019-08-16,20.8,0.0,0.0,0.0
2019-08-17,23.2,15.8,15.8,0.0
2019-08-18,22.9,6.6,6.6,0.0
2019-08-19,22.9,0.0,0.0,0.0
2019-08-20,22.2,2.2,2.2,0.0
2019-08-21,24.9,0.6,0.6,0.0
2019-08-22,20.1,0.0,0.0,0.0
2019-08-23,18.8,0.0,0.0,0.0
2019-08-24,17.3,0.0,0.0,0.0
2019-08-25,18.9,0.0,0.0,0.0
2019-08-26,20.2,0.0,0.0,0.0
2019-08-27,20.0,9.2,9.2,0.0
2019-08-28,21.9,0,0,0.0
2019-08-29,20.3,0,0,0.0
2019-08-30,19.9,0,0,0.0
2019-08-31,17.8,0.0,0.0,0.0
2019-09-01,17.5,0.8,0.8,0.0
2019-09-02,20.3,0.6,0.6,0.0
2019-09-03,18.2,7.2,7.2,0.0
2019-09-04,16.9,0,0,0.0
2019-09-05,16.3,0.0,0.0,0.0
2019-09-06,16.8,1.2,1.2,0.0
2019-09-07,16.9,0,0,0.0
2019-09-08,13.8,0.0,0.0,0.0
2019-09-09,13.8,0.0,0.0,0.0
2019-09-10,17.6,18.2,18.2,0.0
2019-09-11,23.2,1.0,1.0,0.0
2019-09-12,16.6,0.8,0.8,0.0
2019-09-13,17.7,5.6,5.6,0.0
2019-09-14,18.0,0.0,0.0,0.0
2019-09-15,14.6,4.4,4.4,0.0
2019-09-16,15.6,0.2,0.2,0.0
2019-09-17,16.9,0.0,0.0,0.0
2019-09-18,17.6,0.0,0.0,0.0
2019-09-19,19.3,0.0,0.0,0.0
2019-09-20,18.7,0.0,0.0,0.0
2019-09-21,21.8,0.0,0.0,0.0
2019-09-22,26.1,0,0,0.0
2019-09-23,20.1,0.2,0.2,0.0
2019-09-24,17.2,0.0,0.0,0.0
2019-09-25,19.7,0,0,0.0
2019-09-26,16.9,3.2,3.2,0.0
2019-09-27,15.8,0,0,0.0
2019-09-28,16.4,3.0,3.0,0.0
2019-09-29,11.8,0.0,0.0,0.0
2019-09-30,14.9,0.0,0.0,0.0
2019-10-01,23.1,12.0,12.0,0.0
2019-10-02,14.3,10.2,10.2,0.0
2019-10-03,10.2,2.8,2.8,0.0
2019-10-04,8.0,0.0,0.0,0.0
2019-10-05,8.8,0.0,0.0,0.0
2019-10-06,16.6,1.8,1.8,0.0
2019-10-07,12.7,0.0,0.0,0.0
2019-10-08,12.3,0.0,0.0,0.0
2019-10-09,11.1,0.0,0.0,0.0
2019-10-10,12.0,0.0,0.0,0.0
2019-10-11,13.9,0.0,0.0,0.0
2019-10-12,10.0,4.2,4.2,0.0
2019-10-13,10.7,0.0,0.0,0.0
2019-10-14,8.6,0,0,0.0
2019-10-15,8.6,0.0,0.0,0.0
2019-10-16,10.0,18.2,18.2,0.0
2019-10-17,7.7,0,0,0.0
2019-10-18,7.3,0.0,0.0,0.0
2019-10-19,6.6,0.0,0.0,0.0
2019-10-20,10.6,0,0,0.0
2019-10-21,10.6,1.4,1.4,0.0
2019-10-22,12.9,10.6,10.6,0.0
2019-10-23,10.4,0.0,0.0,0.0
2019-10-24,9.1,0.6,0.6,0.0
2019-10-25,7.9,0.0,0.0,0.0
2019-10-26,5.8,9.2,9.2,0.0
2019-10-27,10.2,25.8,25.8,0.0
2019-10-28,10.4,0.0,0.0,0.0
2019-10-29,11.2,0.0,0.0,0.0
2019-10-30,7.7,20.6,20.6,0.0
2019-10-31,7.3,18.8,18.8,0.0
2019-11-01,3.3,0,0.0,0
2019-11-02,4.0,0.4,0.4,0.0
2019-11-03,3.6,0.0,0.0,0.0
2019-11-04,7.3,1.0,1.0,0.0
2019-11-05,4.5,0.0,0.0,0.0
2019-11-06,1.4,0.6,0.2,0.4
2019-11-07,-0.2,3.6,1.6,2.0
2019-11-08,-2.6,0.0,0.0,0.0
2019-11-09,-0.4,0.0,0.0,0.0
2019-11-10,3.1,0.6,0.4,0.2
2019-11-11,-3.9,12.2,0.0,13.6
2019-11-12,-7.6,0.2,0.0,0.2
2019-11-13,-7.8,1.8,0.0,2.0
2019-11-14,-1.0,0.4,0.0,0.4
2019-11-15,-1.6,0,0.0,0
2019-11-16,-6.8,0,0.0,0
2019-11-17,-2.3,0.0,0.0,0.0
2019-11-18,0.5,9.2,8.8,0.4
2019-11-19,2.3,0.2,0.2,0.0
2019-11-20,3.7,0.0,0.0,0.0
2019-11-21,4.8,4.2,4.2,0.0
2019-11-22,3.9,0,0,0.0
2019-11-23,1.8,0.0,0.0,0.0
2019-11-24,1.7,0.0,0.0,0.0
2019-11-25,4.8,0.0,0.0,0.0
2019-11-26,6.4,0.0,0.0,0.0
2019-11-27,7.1,6.4,6.4,0.0
2019-11-28,1.5,0,0.0,0
2019-11-29,-2.1,0,0.0,0
2019-11-30,-2.7,0.0,0.0,0.0
2019-12-01,-2.5,11.4,2.0,3.0
2019-12-02,-4.0,6.2,0.0,9.4
2019-12-03,-4.3,0.6,0.0,0.6
2019-12-04,1.3,0,0.0,0
2019-12-05,-0.9,0.4,0.0,0.4
2019-12-06,-2.9,5.4,0.0,5.4
2019-12-07,-4.3,0,0.0,0
2019-12-08,1.7,0.0,0.0,0.0
2019-12-09,7.6,6.0,6.0,0.0
2019-12-10,1.5,0.6,0.6,0
2019-12-11,-5.7,0,0.0,0
2019-12-12,-5.0,0.0,0.0,0.0
2019-12-13,2.3,0.0,0.0,0.0
2019-12-14,1.6,20.2,18.0,2.6
2019-12-15,-2.6,0,0.0,0
2019-12-16,-2.3,0.0,0.0,0.0
2019-12-17,-1.2,0,0.0,0
2019-12-18,-9.1,0.8,0.0,0.8
2019-12-19,-11.4,1.6,0.0,5.0
2019-12-20,-7.4,0.0,0.0,0.0
2019-12-21,-3.0,0.0,0.0,0.0
2019-12-22,3.1,0.0,0.0,0.0
2019-12-23,4.5,0.0,0.0,0.0
2019-12-24,-1.4,0.0,0.0,0.0
2019-12-25,0.6,0.0,0.0,0.0
2019-12-26,2.4,0,0,0.0
2019-12-27,6.9,0.0,0.0,0.0
2019-12-28,3.0,0.2,0.2,0.0
2019-12-29,1.1,7.8,7.8,0.0
2019-12-30,5.6,8.0,8.0,0.0
2019-12-31,0.4,2.0,0.0,2.0
2020-01-01,-1.7,0,0.0,0
2020-01-02,3.0,0.0,0.0,0.0
2020-01-03,4.6,0.0,0.0,0.0
2020-01-04,0.9,1.6,0.0,2.4
2020-01-05,-0.8,3.6,0.0,3.6
2020-01-06,-1.7,0,0.0,0
2020-01-07,-0.8,0.0,0.0,0.0
2020-01-08,-5.1,2.0,0.0,2.0
2020-01-09,-4.9,0.2,0.0,0.2
2020-01-10,4.5,1.8,1.8,0.0
2020-01-11,6.8,59.0,59.0,0.0
2020-01-12,-2.3,17.6,16.6,1.0
2020-01-13,-1.7,0.4,0.0,0.4
2020-01-14,1.4,0,0,0.0
2020-01-15,2.6,0,0.0,0
2020-01-16,-5.0,0.2,0.0,0.2
2020-01-17,-11.5,0.0,0.0,0.0
2020-01-18,-2.8,14.4,0.2,17.2
2020-01-19,-5.6,1.6,0.0,2.4
2020-01-20,-10.4,0.0,0.0,0.0
2020-01-21,-5.8,0,0.0,0
2020-01-22,-3.6,0.0,0.0,0.0
2020-01-23,-1.2,0.0,0.0,0.0
2020-01-24,1.0,18.6,18.6,0.0
2020-01-25,2.6,8.6,8.6,0
2020-01-26,2.0,1.0,0.8,0.2
2020-01-27,0.6,0,0,0.0
2020-01-28,-0.1,0,0.0,0
2020-01-29,-4.9,0,0.0,0
2020-01-30,-5.1,0.0,0.0,0.0
2020-01-31,-2.0,0.8,0.0,0.8
